season_name,id,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,points_per_game,player_id,first_name,second_name,birth_date
2021/22,,95,2160,0,0,8,27,0,0,0,1,0,78,5,496,593.4,10.0,0.0,60.1,0,0,0.00,0.00,0.00,0.00,,1,David,Raya Martín,1995-09-15
2022/23,,166,3420,0,0,12,46,1,0,0,1,0,154,20,822,1146.0,20.1,4.0,117.3,0,38,0.11,0.12,0.23,50.12,,1,David,Raya Martín,1995-09-15
2023/24,,135,2880,0,0,16,24,0,1,0,2,0,46,6,569,413.0,0.0,0.0,41.1,0,32,0.00,0.04,0.04,22.51,,1,David,Raya Martín,1995-09-15
2024/25,,142,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,0,38,0.00,0.03,0.03,35.03,,1,David,Raya Martín,1995-09-15
2018/19,,142,3240,0,0,14,39,0,1,0,2,0,82,7,685,681.0,0.1,0.0,68.0,0,0,0.00,0.00,0.00,0.00,,2,Kepa,Arrizabalaga Revuelta,1994-10-03
2019/20,,90,2970,0,0,8,47,0,0,0,0,0,55,0,507,503.6,0.0,0.0,50.2,0,0,0.00,0.00,0.00,0.00,,2,Kepa,Arrizabalaga Revuelta,1994-10-03
2020/21,,26,585,0,0,2,8,0,0,0,1,0,16,5,117,113.6,0.0,0.0,11.3,0,0,0.00,0.00,0.00,0.00,,2,Kepa,Arrizabalaga Revuelta,1994-10-03
2021/22,,19,360,0,0,2,2,0,0,0,0,0,11,1,89,95.6,0.0,0.0,9.6,0,0,0.00,0.00,0.00,0.00,,2,Kepa,Arrizabalaga Revuelta,1994-10-03
2022/23,,118,2565,0,0,9,33,0,0,0,1,0,91,15,575,733.4,0.1,0.0,73.3,0,29,0.00,0.00,0.00,38.34,,2,Kepa,Arrizabalaga Revuelta,1994-10-03
2023/24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,2,Kepa,Arrizabalaga Revuelta,1994-10-03
2024/25,,106,2790,0,0,8,39,0,0,0,3,0,97,7,406,744.4,10.4,4.0,75.8,0,31,0.06,0.03,0.09,38.83,,2,Kepa,Arrizabalaga Revuelta,1994-10-03
2021/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,3,Karl,Hein,2002-04-13
2022/23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,3,Karl,Hein,2002-04-13
2023/24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,3,Karl,Hein,2002-04-13
2024/25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,3,Karl,Hein,2002-04-13
2024/25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,4,Tommy,Setford,
2020/21,,78,1996,2,0,6,24,0,0,0,2,1,0,7,385,464.8,51.0,233.0,74.9,0,0,0.00,0.00,0.00,0.00,,5,Gabriel,dos Santos Magalhães,1997-12-19
2021/22,,146,3063,5,0,13,38,0,0,0,6,1,0,16,682,746.8,131.6,470.0,134.7,0,0,0.00,0.00,0.00,0.00,,5,Gabriel,dos Santos Magalhães,1997-12-19
2022/23,,146,3409,3,0,14,43,0,0,0,5,0,0,15,723,743.8,131.4,401.0,127.7,0,38,5.04,0.66,5.70,41.84,,5,Gabriel,dos Santos Magalhães,1997-12-19
2023/24,,149,3042,3,1,16,26,1,0,0,4,0,0,8,676,675.8,121.9,379.0,117.9,0,34,4.48,0.65,5.13,26.18,,5,Gabriel,dos Santos Magalhães,1997-12-19
2024/25,,117,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,0,28,2.70,1.21,3.91,23.09,,5,Gabriel,dos Santos Magalhães,1997-12-19
2020/21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,6,William,Saliba,2001-03-24
2021/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,6,William,Saliba,2001-03-24
2022/23,,117,2415,2,1,12,25,1,0,0,4,0,0,14,571,529.0,100.8,114.0,74.5,0,27,0.91,0.32,1.23,26.86,,6,William,Saliba,2001-03-24
2023/24,,164,3420,2,1,18,29,0,0,0,4,0,0,13,781,697.2,152.1,140.0,99.1,0,38,1.70,0.90,2.60,28.32,,6,William,Saliba,2001-03-24
2024/25,,130,3039,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116.0,94.2,0,35,2.42,1.28,3.70,30.32,,6,William,Saliba,2001-03-24
2024/25,,39,978,2,1,1,12,0,0,0,4,0,0,1,142,252.6,118.2,176.0,54.6,0,11,0.86,0.69,1.55,10.28,,7,Riccardo,Calafiori,2002-05-19
2023/24,,0,70,0,0,0,0,0,0,0,2,0,0,0,4,5.8,4.7,2.0,1.3,0,1,0.00,0.02,0.02,0.28,,8,Jurriën,Timber,2001-06-17
2024/25,,114,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,0,27,1.23,1.30,2.53,21.09,,8,Jurriën,Timber,2001-06-17
2022/23,,26,425,1,0,2,6,0,0,0,0,0,0,1,111,98.6,17.9,21.0,13.9,0,5,0.10,0.01,0.11,6.46,,9,Jakub,Kiwior,2000-02-15
2023/24,,67,942,1,3,6,8,0,0,0,1,0,0,1,260,228.8,106.9,90.0,42.7,0,11,0.74,0.60,1.34,5.15,,9,Jakub,Kiwior,2000-02-15
2024/25,,43,1117,1,0,3,15,0,0,0,1,0,0,2,178,267.2,91.3,32.0,39.2,0,10,0.17,0.29,0.46,14.71,,9,Jakub,Kiwior,2000-02-15
2023/24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,10,Myles,Lewis-Skelly,2006-09-26
2024/25,,37,1362,1,0,5,16,0,0,0,3,2,0,0,237,176.0,170.7,57.0,40.0,0,15,0.16,0.51,0.67,16.65,,10,Myles,Lewis-Skelly,2006-09-26
2018/19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,11,Benjamin,White,1997-10-08
2020/21,,104,3192,0,0,12,44,0,0,0,3,1,0,5,571,488.6,152.5,153.0,79.7,0,0,0.00,0.00,0.00,0.00,,11,Benjamin,White,1997-10-08
2021/22,,107,2880,0,0,13,35,1,0,0,3,0,0,9,557,592.8,182.3,150.0,92.5,0,0,0.00,0.00,0.00,0.00,,11,Benjamin,White,1997-10-08
2022/23,,156,3054,2,5,15,35,0,0,0,5,0,0,12,734,655.4,492.5,159.0,130.8,0,36,1.25,3.60,4.85,37.23,,11,Benjamin,White,1997-10-08
2023/24,,182,2987,4,5,18,26,0,0,0,8,0,0,14,776,765.8,589.4,234.0,159.0,0,35,1.27,3.66,4.93,24.95,,11,Benjamin,White,1997-10-08
2024/25,,50,1195,0,2,5,13,0,0,0,2,0,0,0,211,247.6,162.6,100.0,51.0,0,13,0.46,1.30,1.76,16.88,,11,Benjamin,White,1997-10-08
2016/17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,12,Oleksandr,Zinchenko,1996-12-15
2017/18,,16,530,0,0,3,3,0,0,0,1,0,0,0,104,116.4,145.9,21.0,28.3,0,0,0.00,0.00,0.00,0.00,,12,Oleksandr,Zinchenko,1996-12-15
2018/19,,44,1151,0,3,9,4,0,0,0,1,0,0,1,230,279.2,278.6,77.0,63.5,0,0,0.00,0.00,0.00,0.00,,12,Oleksandr,Zinchenko,1996-12-15
2019/20,,49,1271,0,0,6,15,0,0,0,0,1,0,1,295,232.0,375.8,102.0,71.2,0,0,0.00,0.00,0.00,0.00,,12,Oleksandr,Zinchenko,1996-12-15
2020/21,,69,1473,0,0,8,14,0,0,0,0,0,0,5,353,272.0,295.7,134.0,70.3,0,0,0.00,0.00,0.00,0.00,,12,Oleksandr,Zinchenko,1996-12-15
2021/22,,59,1044,0,4,5,9,0,0,0,0,0,0,4,284,259.4,282.1,111.0,65.4,0,0,0.00,0.00,0.00,0.00,,12,Oleksandr,Zinchenko,1996-12-15
2022/23,,99,2122,1,2,10,28,0,0,0,3,0,0,8,500,405.0,387.7,190.0,98.3,0,26,1.32,2.39,3.71,26.67,,12,Oleksandr,Zinchenko,1996-12-15
2023/24,,104,1717,1,2,9,15,0,0,0,2,0,0,16,468,395.4,474.8,133.0,100.4,0,20,0.60,2.65,3.25,12.33,,12,Oleksandr,Zinchenko,1996-12-15
2024/25,,40,518,0,1,4,1,0,0,0,1,0,0,2,141,83.4,92.8,66.0,24.1,0,5,0.65,0.52,1.17,3.21,,12,Oleksandr,Zinchenko,1996-12-15
2024/25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,13,Brayden,Clarke,
2024/25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,14,Maldini,Kacurri,
2024/25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,15,Josh,Nichols,
2018/19,,1,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,16,Bukayo,Saka,2001-09-05
2019/20,,71,1746,1,6,7,18,0,0,0,6,0,0,4,259,327.2,322.5,248.0,89.8,0,0,0.00,0.00,0.00,0.00,,16,Bukayo,Saka,2001-09-05
2020/21,,114,2554,5,5,8,31,1,0,0,1,0,0,8,414,493.0,650.6,984.0,212.7,0,0,0.00,0.00,0.00,0.00,,16,Bukayo,Saka,2001-09-05
2021/22,,179,2978,11,9,13,39,0,0,0,6,0,0,18,566,790.4,977.8,1434.0,320.0,0,0,0.00,0.00,0.00,0.00,,16,Bukayo,Saka,2001-09-05
2022/23,,202,3183,14,12,12,42,0,0,1,6,0,0,19,678,1014.2,1106.1,1214.0,333.4,0,37,11.49,5.97,17.46,39.66,,16,Bukayo,Saka,2001-09-05
2023/24,,226,2922,16,12,16,27,0,0,0,4,0,0,29,776,1093.8,1319.8,1342.0,375.7,0,35,15.40,10.90,26.29,25.66,,16,Bukayo,Saka,2001-09-05
2024/25,,127,1724,6,11,7,21,0,0,0,3,0,0,18,508,606.0,842.8,830.0,227.9,0,20,6.87,7.78,14.65,17.72,,16,Bukayo,Saka,2001-09-05
2020/21,,40,861,1,2,3,12,0,0,0,0,0,0,3,183,169.8,322.8,167.0,65.9,0,0,0.00,0.00,0.00,0.00,,17,Martin,Ødegaard,1998-12-17
2021/22,,131,2782,7,4,11,39,0,0,0,4,0,0,9,541,676.6,1073.2,639.0,238.2,0,0,0.00,0.00,0.00,0.00,,17,Martin,Ødegaard,1998-12-17
2022/23,,212,3132,15,8,13,38,0,0,0,4,0,0,30,813,971.8,1140.3,934.0,304.9,0,37,9.75,8.02,17.77,37.94,,17,Martin,Ødegaard,1998-12-17
2023/24,,186,3098,8,11,19,23,0,0,0,2,0,0,26,703,910.4,1499.4,757.0,317.0,0,35,7.53,10.16,17.69,25.26,,17,Martin,Ødegaard,1998-12-17
2024/25,,116,2321,3,9,11,21,0,0,0,4,0,0,11,529,524.6,968.7,493.0,198.8,0,26,4.85,6.68,11.53,22.16,,17,Martin,Ødegaard,1998-12-17
2022/23,,26,639,1,0,0,13,0,0,0,0,0,0,2,105,153.8,170.8,224.0,55.0,0,7,0.90,0.72,1.62,13.11,,18,Noni,Madueke,2002-03-10
2023/24,,76,1044,5,3,4,19,0,0,0,2,0,0,7,253,341.6,287.5,401.0,102.8,0,13,2.51,2.13,4.64,18.37,,18,Noni,Madueke,2002-03-10
2024/25,,120,2028,7,5,6,28,0,0,0,3,0,0,12,425,479.2,475.1,998.0,195.3,0,27,9.62,2.86,12.48,29.55,,18,Noni,Madueke,2002-03-10
